fecha,precio
01-1976,12.61905
01-1977,17.77656818181818
01-1978,17.70664761904762
01-1979,21.530905
01-1980,17.080485714285714
01-1981,21.053733333333334
01-1982,16.869422727272728
01-1983,4.962580952380953
01-1984,6.474259999999999
01-1985,5.4191
01-1986,7.888585714285715
01-1987,13.414561904761905
01-1988,17.39305238095238
01-1989,21.548990476190475
01-1990,18.071054999999998
01-1991,14.338213636363635
01-1992,12.679781818181818
01-1993,14.167163636363636
01-1994,20.904938095238094
01-1995,22.927419047619047
01-1996,26.127633333333332
01-1997,32.73498571428571
01-1998,32.593405000000004
01-1999,33.17260476190476
01-2000,52.506269999999994
01-2001,40.53625263157895
01-2002,32.69302857142857
01-2003,32.403785
01-2004,45.43384761904762
01-2005,51.301747619047624
01-2006,69.38325999999999
01-2007,85.56422105263158
01-2008,66.337075
01-2009,48.387735
01-2010,57.818133333333336
01-2011,59.008161904761906
01-2012,54.3408
01-2013,77.3571761904762
01-2014,90.63469
01-2015,100.536525
01-2016,89.65290952380953
01-2017,95.86187
01-2018,114.55762105263157
01-2019,109.01878571428571
01-2020,122.63112857142858
01-2021,144.76859047619047
01-2022,175.97336666666666
01-2023,148.264895
01-2024,205.682
02-1976,12.6539
02-1977,18.305244444444444
02-1978,19.08425
02-1979,21.01618
02-1980,17.041375
02-1981,20.636715000000002
02-1982,14.942155555555555
02-1983,5.020183333333333
02-1984,6.195735
02-1985,5.385766666666667
02-1986,8.392815789473685
02-1987,13.36687
02-1988,18.857488888888888
02-1989,21.495055555555556
02-1990,17.420025
02-1991,14.620194444444444
02-1992,12.59138
02-1993,14.59575
02-1994,22.051361111111113
02-1995,21.689027777777778
02-1996,26.462775
02-1997,32.79084210526315
02-1998,31.353244999999998
02-1999,34.09945294117647
02-2000,51.90618888888889
02-2001,41.17593
02-2002,32.276361111111115
02-2003,31.960163157894737
02-2004,45.70614
02-2005,51.407555555555554
02-2006,70.93693888888889
02-2007,86.69632631578948
02-2008,70.370585
02-2009,48.3026
02-2010,52.28970588235294
02-2011,62.11539444444444
02-2012,60.095645000000005
02-2013,81.12051111111111
02-2014,89.30494210526315
02-2015,102.80151000000001
02-2016,86.17562777777778
02-2017,93.70037222222223
02-2018,111.90478
02-2019,107.86373333333333
02-2020,120.70962
02-2021,149.8436823529412
02-2022,167.94389444444445
02-2023,143.64258333333333
02-2024,227.67000000000002
03-1976,12.7851
03-1977,17.873222727272726
03-1978,19.70968695652174
03-1979,20.237547619047618
03-1980,16.642022727272728
03-1981,21.713304761904762
03-1982,5.490809523809524
03-1983,5.084181818181818
03-1984,6.3597
03-1985,5.411871428571429
03-1986,8.475718181818182
03-1987,12.850795238095237
03-1988,20.48175714285714
03-1989,20.925526086956523
03-1990,15.78430476190476
03-1991,14.5345
03-1992,11.814027272727271
03-1993,15.092733333333333
03-1994,22.222527272727273
03-1995,22.125266666666665
03-1996,26.48773333333333
03-1997,31.50735
03-1998,31.109528571428573
03-1999,35.22079523809524
03-2000,56.676545833333336
03-2001,42.35049523809524
03-2002,34.680255
03-2003,31.63218695652174
03-2004,46.15474761904762
03-2005,50.11226666666667
03-2006,71.33108750000001
03-2007,85.29407142857143
03-2008,66.50845238095238
03-2009,47.84859047619047
03-2010,55.604328571428574
03-2011,58.39177272727272
03-2012,61.15545
03-2013,81.538505
03-2014,87.1207652173913
03-2015,106.44869000000001
03-2016,86.00347500000001
03-2017,92.34898333333332
03-2018,108.748435
03-2019,106.73840000000001
03-2020,111.27382727272726
03-2021,148.63171904761904
03-2022,163.46348636363635
03-2023,140.54468333333332
03-2024,240.54714285714286
04-1976,12.25215
04-1977,16.582642857142858
04-1978,20.416733333333333
04-1979,21.591816666666666
04-1980,16.991025
04-1981,24.458214285714284
04-1982,6.241622727272727
04-1983,5.185242857142858
04-1984,6.541944444444444
04-1985,5.348585714285714
04-1986,9.6526
04-1987,12.459119047619048
04-1988,20.513885714285713
04-1989,20.59555
04-1990,16.239633333333334
04-1991,14.375790476190476
04-1992,12.246347619047619
04-1993,16.712681818181817
04-1994,22.18001
04-1995,23.91441176470588
04-1996,26.92849
04-1997,32.55430952380952
04-1998,31.452536363636362
04-1999,36.189581818181814
04-2000,60.3767
04-2001,40.37889444444445
04-2002,34.017857142857146
04-2003,29.990355
04-2004,47.03794285714286
04-2005,49.07107619047619
04-2006,75.43873529411765
04-2007,82.0413052631579
04-2008,66.25311363636364
04-2009,54.64023636363636
04-2010,55.27880454545455
04-2011,56.91662
04-2012,59.402042105263156
04-2013,85.95484761904761
04-2014,86.282405
04-2015,105.93350454545454
04-2016,85.76004761904763
04-2017,91.30517058823528
04-2018,110.15193684210526
04-2019,110.53758
04-2020,114.57438636363636
04-2021,148.15782272727273
04-2022,163.14848
04-2023,141.35313888888888
04-2024,221.99
05-1976,12.1183
05-1977,16.601236842105262
05-1978,20.48672
05-1979,20.59717391304348
05-1980,18.276704761904764
05-1981,23.224255
05-1982,6.95067
05-1983,5.512578947368421
05-1984,6.240886363636363
05-1985,5.358686363636364
05-1986,9.720052380952382
05-1987,13.505379999999999
05-1988,19.990215
05-1989,20.723005
05-1990,17.301821739130435
05-1991,14.120986956521739
05-1992,12.677278947368421
05-1993,16.762875
05-1994,22.585
05-1995,22.755724999999998
05-1996,27.162308695652175
05-1997,34.82899523809524
05-1998,30.750234999999996
05-1999,34.452935000000004
05-2000,56.621145
05-2001,41.10766521739131
05-2002,34.072539130434784
05-2003,30.97814285714286
05-2004,45.455220000000004
05-2005,48.88465789473684
05-2006,72.729845
05-2007,81.29678260869565
